DATE,BPGroup,Descr,Taste,CardName,Stick_Qty,Total
1/1/22,A01,할인점,레몬,고객001,776,434400
1/1/22,A01,할인점,레몬,고객002,2274,1273380
1/1/22,A01,할인점,레몬,고객003,75,41760
1/1/22,A01,할인점,레몬,고객004,2820,1579200
1/1/22,A02,슈퍼백화점,레몬,고객005,73,46560
1/1/22,A02,슈퍼백화점,레몬,고객006,71,45600
1/3/22,A01,할인점,레몬,고객001,2772,1552200
1/3/22,A01,할인점,레몬,고객004,1340,750120
1/3/22,A02,슈퍼백화점,레몬,고객007,57,36732
1/3/22,A03,드럭스토어,레몬,고객008,13994,9516000
1/3/22,A04,편의점,레몬,고객009,1442,980280
1/3/22,A05,홈쇼핑,레몬,고객010,162,90585
1/3/22,A07,온라인(타사몰),레몬,고객011,3988,2392507
1/3/22,A07,온라인(타사몰),레몬,고객012,237,142178
1/3/22,A07,온라인(타사몰),레몬,고객013,754,452621
1/3/22,A07,온라인(타사몰),레몬,고객014,225,134903
1/3/22,A07,온라인(타사몰),레몬,고객015,81,48819
1/3/22,A07,온라인(타사몰),레몬,고객016,291,174815
1/3/22,A07,온라인(타사몰),레몬,고객017,127,76016
1/3/22,A07,온라인(타사몰),레몬,고객018,108,65054
1/3/22,A07,온라인(타사몰),레몬,고객019,778,467096
1/3/22,A07,온라인(타사몰),레몬,고객020,30,17878
1/3/22,A07,온라인(타사몰),레몬,고객021,920,552100
1/3/22,A07,온라인(타사몰),레몬,고객022,73,43545
1/3/22,A07,온라인(타사몰),레몬,고객023,178,107029
1/3/22,A08,온라인(자사몰),레몬,고객024,4561,2736394
1/3/22,A09,직접수출,레몬,고객025,11749,6579525
1/4/22,A01,할인점,레몬,고객002,3492,1955760
1/4/22,A01,할인점,레몬,고객026,1286,720000
1/4/22,A02,슈퍼백화점,레몬,고객027,414,264960
1/4/22,A02,슈퍼백화점,레몬,고객006,356,228000
1/4/22,A04,편의점,레몬,고객009,48,32676
1/4/22,A04,편의점,레몬,고객028,49,33444
1/4/22,A07,온라인(타사몰),레몬,고객011,467,280040
1/4/22,A07,온라인(타사몰),레몬,고객012,179,107452
1/4/22,A07,온라인(타사몰),레몬,고객013,178,106669
1/4/22,A07,온라인(타사몰),레몬,고객014,93,55676
1/4/22,A07,온라인(타사몰),레몬,고객015,102,61454
1/4/22,A07,온라인(타사몰),레몬,고객016,126,75636
1/4/22,A07,온라인(타사몰),레몬,고객017,29,17220
1/4/22,A07,온라인(타사몰),레몬,고객018,163,97569
1/4/22,A07,온라인(타사몰),레몬,고객019,208,125029
1/4/22,A07,온라인(타사몰),레몬,고객020,83,49691
1/4/22,A07,온라인(타사몰),레몬,고객021,347,208116
1/4/22,A07,온라인(타사몰),레몬,고객023,126,75663
1/4/22,A08,온라인(자사몰),레몬,고객024,1818,1090514
1/4/22,A10,간접수출,레몬,고객029,1083,671611
1/4/22,A10,간접수출,레몬,고객030,5274,3270000
1/5/22,A01,할인점,레몬,고객001,5252,2941200
1/5/22,A01,할인점,레몬,고객031,18100,10136200
1/5/22,A01,할인점,레몬,고객002,640,358440
1/5/22,A01,할인점,레몬,고객003,224,125280
1/5/22,A01,할인점,레몬,고객004,635,355320
1/5/22,A02,슈퍼백화점,레몬,고객005,844,540000
1/5/22,A02,슈퍼백화점,레몬,고객007,57,36732
1/5/22,A02,슈퍼백화점,레몬,고객006,285,182400
1/5/22,A04,편의점,레몬,고객032,217,147240
1/5/22,A07,온라인(타사몰),레몬,고객011,157,94285
1/5/22,A07,온라인(타사몰),레몬,고객012,280,167726
1/5/22,A07,온라인(타사몰),레몬,고객013,671,402754
1/5/22,A07,온라인(타사몰),레몬,고객033,221558,132935040
1/5/22,A07,온라인(타사몰),레몬,고객014,144,86514
